,year,weighted_average_vote
354,1924,6.9
355,1923,6.5
356,1924,5.7
357,1924,6.9
358,1924,6.5
359,1924,6.3
360,1925,6.8
361,1924,6.4
362,1924,6.1
363,1924,7.7
364,1924,7.8
365,1924,6.8
366,1924,7.2
367,1924,7.2
368,1924,7.2
369,1924,6.9
370,1924,5.7
371,1924,6.7
372,1924,8.1
373,1924,6.5
374,1924,7.2
375,1924,7.1
376,1924,5.7
377,1924,7.7
378,1924,6.6
379,1924,7.9
380,1924,8.1
381,1924,4.7
382,1924,7.1
383,1924,6.8
384,1924,7.2
385,1924,7.1
386,1924,7.1
387,1924,6.3
388,1924,7.0
389,1924,5.5
390,1924,8.2
391,1925,7.6
392,1924,7.7
393,1924,6.3
394,1924,6.8
395,1924,5.9
396,1924,5.8
397,1926,7.8
398,1925,7.9
399,1925,6.2
400,1925,7.0
401,1925,8.0
402,1925,6.3
403,1925,6.6
404,1925,6.4
405,1925,7.0
406,1925,7.1
407,1925,6.6
408,1925,6.3
409,1926,7.1
410,1925,7.5
411,1925,7.2
412,1926,5.8
413,1926,6.6
414,1925,7.2
415,1925,8.2
416,1925,6.9
417,1924,8.1
418,1926,6.9
419,1925,6.5
420,1925,6.6
421,1925,7.3
422,1925,6.6
423,1925,5.0
424,1925,7.2
425,1925,6.0
426,1925,6.7
427,1935,7.1
428,1925,7.0
429,1925,7.3
430,1925,6.2
431,1925,6.4
432,1925,7.1
433,1925,6.2
434,1925,6.7
435,1925,7.6
436,1925,6.0
437,1925,6.0
438,1925,7.0
439,1925,6.8
440,1925,3.7
441,1925,7.1
442,1925,6.6
443,1925,6.4
444,1925,6.8
445,1925,6.6
446,1925,3.8
447,1925,6.7
448,1925,7.9
449,1925,6.1
450,1925,4.1
451,1924,6.4
452,1925,6.5
453,1925,7.2
454,1925,6.5
455,1925,7.2
456,1925,6.8
457,1925,7.4
458,1925,7.7
459,1926,6.7
460,1925,5.1
461,1925,5.8
462,1925,6.9
463,1925,6.8
464,1925,5.4
465,1925,6.6
466,1926,7.0
467,1926,6.5
468,1926,7.0
469,1926,7.0
470,1926,6.5
471,1926,6.3
472,1926,5.9
473,1926,7.1
474,1926,6.8
475,1926,5.5
476,1926,7.3
477,1926,5.0
478,1926,6.2
479,1926,6.6
480,1926,6.6
481,1926,7.0
482,1926,6.7
483,1926,4.6
484,1926,6.9
485,1926,8.1
486,1926,6.4
487,1926,5.8
488,1926,7.6
489,1926,7.5
490,1926,6.9
491,1926,6.3
492,1926,6.6
493,1926,6.7
494,1927,6.0
495,1926,6.4
496,1926,6.9
497,1926,6.7
498,1926,7.4
499,1927,7.3
500,1926,6.3
501,1925,6.7
502,1926,6.7
503,1926,6.8
504,1926,6.8
505,1926,7.5
506,1927,8.3
507,1926,6.8
508,1925,5.7
509,1925,7.0
510,1926,6.8
511,1926,5.2
512,1926,6.7
513,1926,7.7
514,1926,7.1
515,1926,6.6
516,1925,6.0
517,1926,7.7
518,1926,6.5
519,1926,5.8
520,1926,6.7
521,1926,6.8
522,1926,7.0
523,1926,6.2
524,1926,6.6
525,1926,6.2
526,1926,7.3
527,1926,6.7
528,1926,6.9
529,1925,7.1
530,1926,6.9
531,1926,7.5
532,1926,6.9
533,1926,6.1
534,1926,6.6
535,1927,6.4
536,1926,6.8
537,1926,7.0
538,1927,7.5
539,1928,6.2
540,1927,5.9
541,1927,7.1
542,1927,7.0
543,1927,6.9
544,1927,6.4
545,1927,6.8
546,1927,6.8
547,1927,7.1
548,1927,7.1
549,1927,6.6
550,1927,7.1
551,1927,7.2
552,1927,6.1
553,1927,4.8
554,1927,5.7
555,1927,5.6
556,1927,6.4
557,1927,6.9
558,1926,8.1
559,1927,6.7
560,1983,7.0
561,1935,7.4
562,1927,7.1
563,1927,6.6
564,1927,6.4
565,1927,7.3
566,1927,6.5
567,1927,6.8
568,1927,7.6
569,1927,7.2
570,1927,7.3
571,1927,7.3
572,1927,6.8
573,1927,6.3
574,1927,6.9
575,1927,6.1
576,1927,5.9
577,1927,6.7
578,1927,6.4
579,1927,7.4
580,1927,8.1
581,1927,7.5
582,1927,6.4
583,1927,6.8
584,1927,6.3
585,1927,5.8
586,1927,6.3
587,1927,6.4
588,1927,6.6
589,1927,6.2
590,1927,7.0
591,1927,6.2
592,1927,7.6
593,1928,5.6
594,1928,7.1
595,1927,6.9
596,1927,4.0
597,1927,6.0
598,1927,7.6
599,1927,6.3
600,1927,8.1
601,1927,5.5
602,1926,6.9
603,1927,6.1
604,1927,5.8
605,1927,7.4
606,1927,5.2
607,1927,6.7
608,1928,6.8
609,1927,6.7
610,1927,7.6
611,1927,7.8
612,1927,6.2
613,1927,6.8
614,1927,7.5
615,1927,3.1
616,1929,6.7
617,1927,6.3
618,1928,7.0
619,1928,6.0
620,1928,6.5
621,1928,7.5
622,1928,4.9
623,1929,7.9
624,1928,8.1
625,1928,6.2
626,1928,5.6
627,1928,7.3
628,1928,8.1
629,1928,6.5
630,1928,6.8
631,1928,6.7
632,1928,7.5
633,1928,7.3
634,1928,6.9
635,1928,5.9
636,1928,5.9
637,1928,7.0
638,1928,6.3
639,1929,6.9
640,1928,7.1
641,1928,3.9
642,1928,6.8
643,1928,6.7
644,1928,6.6
645,1928,6.6
646,1928,6.9
647,1929,6.0
648,1928,7.1
649,1928,6.9
650,1928,8.0
651,1928,7.6
652,1928,5.7
653,1928,6.1
654,1928,7.8
655,1928,6.8
656,1928,7.7
657,1928,6.8
658,1928,6.8
659,1927,5.3
660,1928,6.5
661,1928,7.2
662,1928,6.7
663,1928,8.1
664,1928,7.5
665,1928,7.1
666,1928,6.4
667,1928,6.7
668,1928,6.8
669,1928,6.0
670,1928,3.5
671,1928,7.2
672,1928,7.0
673,1928,7.6
674,1928,6.2
675,1928,6.2
676,1928,7.7
677,1928,7.6
678,1928,7.9
679,1928,7.4
680,1928,6.1
681,1928,6.8
682,1928,6.0
683,1928,6.5
684,1928,6.9
685,1928,7.3
686,1928,6.6
687,1927,6.5
688,1929,6.1
